"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"316","F",2,1,9,1,1,2,2,0.56309,0,0,1,3,2,1,1,1,-2,1,1,0.75,0,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"317","M",5,2,2,9,9,9,1,0.49163,1,1,2,1,3,3,2,2,0,0,4,1,0.5,0.5,0,0,0,0,3,3,5,3,5,3,3,3,4,0,1,3,3,3,3,2,1,1,2
"318","F",2,1,4,1,1,2,2,0.46454,0,0,1,2,2,1,1,-1,-1,1,0,0.5,0.25,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,3,NA
"319","M",1,1,5,1,1,2,2,0.36464,0,0,1,2,3,2,-1,0,0,0,-1,0.375,0.5,0.5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,2,1,2,1,2,1
"320","M",1,9,8,1,1,2,1,1.78131,0,0,1,3,3,2,-2,2,2,-2,0,0.5,1,0,0,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3
"321","F",2,1,1,1,2,2,3,0.46454,0,0,1,1,3,2,1,1,-1,-1,0,0.75,0.25,0.25,1,0,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,1,1,2,2,4
"322","M",1,1,9,1,1,2,2,1.11694,0,0,2,3,3,3,-2,-1,-2,2,-3,0.125,0,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,2,1,2,1
"323","M",1,1,9,1,1,2,2,1.42578,0,0,1,3,3,2,-1,1,0,0,0,0.5,0.5,0.5,1,1,0,0,1,1,1,1,3,1,1,1,1,1,2,3,1,2,1,2,1,3,NA
"324","M",1,1,2,1,2,2,2,0.71054,0,0,1,1,2,1,-1,-2,-1,2,-2,0.125,0.25,1,1,1,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,3,1,2,1,2,1
"325","F",2,2,10,2,2,1,1,0.6478,1,1,2,5,3,3,1,-1,2,2,4,0.5,1,1,1,0,1,0,2,2,2,2,4,2,2,2,2,0,1,2,2,2,3,2,1,2,1
"326","M",1,2,12,2,9,1,1,1.11694,1,1,3,4,4,5,-2,-1,0,2,-1,0.125,0.5,1,0,1,1,1,2,2,2,2,5,2,3,2,2,0,1,1,3,2,3,1,2,1,4
"327","F",2,1,9,1,1,9,2,0.89802,0,0,2,3,3,3,1,0,0,1,2,0.625,0.5,0.75,1,0,0,1,1,1,1,1,5,1,1,3,1,1,2,1,1,2,2,2,1,1,2
"328","F",1,2,12,2,2,1,3,0.4988,1,0,2,4,3,3,1,0,1,1,3,0.625,0.75,0.75,0,1,1,1,2,2,2,2,4,2,2,2,2,0,3,1,1,3,3,1,1,1,3
"329","M",1,1,2,1,1,2,2,0.31728,0,0,1,1,1,1,0,0,-2,-1,-3,0.5,0,0.25,1,1,1,1,3,3,1,3,1,1,1,1,1,0,2,1,1,2,1,2,1,2,1
"330","M",1,1,9,1,1,2,2,0.31728,0,0,1,3,3,2,-1,-2,2,2,1,0.125,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"331","F",2,2,10,2,9,1,2,0.85499,1,1,3,5,4,5,2,2,2,2,8,1,1,1,1,0,0,1,2,2,2,2,4,2,3,2,3,0,2,3,3,3,3,2,1,1,2
"332","M",2,1,9,1,1,2,2,1.81639,0,0,1,3,2,1,0,-1,-1,2,0,0.375,0.25,1,1,0,0,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"333","F",2,2,10,2,9,1,9,0.56366,1,1,2,5,3,3,2,1,1,2,6,0.875,0.75,1,1,0,1,0,2,2,2,2,5,2,3,2,3,0,NA,1,1,2,2,2,1,2,1
"334","F",2,1,2,9,2,2,9,1.01831,0,0,1,1,2,1,1,1,-1,-2,-1,0.75,0.25,0,0,0,1,1,3,3,1,3,1,3,2,1,1,0,NA,1,1,2,1,2,1,2,1
"335","M",1,2,12,2,9,1,2,0.67404,1,1,3,4,5,5,2,2,2,2,8,1,1,1,1,1,1,0,2,2,2,2,4,2,3,2,2,0,2,2,1,3,3,1,2,3,4
"336","M",1,2,12,2,9,1,1,0.36464,1,1,3,4,4,5,1,-1,2,2,4,0.5,1,1,1,1,1,1,2,2,2,2,5,2,3,2,2,0,1,2,1,3,3,1,2,3,4
"337","M",2,1,1,1,2,2,2,0.90521,0,0,1,1,1,1,-1,0,-2,0,-3,0.375,0,0.5,1,0,1,0,3,3,1,3,1,1,2,1,1,0,2,3,1,3,1,2,1,2,1
"338","M",1,2,10,2,2,1,1,2.1002,1,0,3,5,4,5,2,2,2,2,8,1,1,1,1,1,0,0,2,2,2,2,5,2,2,2,2,0,1,3,1,3,3,1,2,1,4
"339","F",2,2,12,2,2,1,2,4.19729,1,1,3,4,5,5,-1,-1,0,2,0,0.25,0.5,1,0,0,0,0,2,2,2,2,4,2,2,2,2,0,2,3,3,3,3,1,2,1,4
